Wetland,asset_precip_3m,subwetland,year,asset_precip_3m_scaled,asset_precip_3m_scaled_lagged,asset_precip,asset_precip_annual_scaled,asset_precip_annual_scaled_lagged
Banrock Station Wetland Complex,76.30045781696545,NA,1982,0.31056686994240273,NA,144.0817234955582,-2.1105763713946875,NA
Banrock Station Wetland Complex,28.2161478285696,NA,1983,-2.117183587878752,0.31056686994240273,187.5372464805257,-1.0608040694268521,-2.1105763713946875
Banrock Station Wetland Complex,96.80511106650033,NA,1984,1.3458355745580197,-2.117183587878752,256.5831107569676,0.6071642555180081,-1.0608040694268521
Banrock Station Wetland Complex,104.7945551694608,NA,1985,1.749218228554297,1.3458355745580197,187.56197818611184,-1.0602066158071195,0.6071642555180081
Banrock Station Wetland Complex,74.96163533528645,NA,1986,0.24297045660878408,1.749218228554297,231.41963993322616,-7.196882853493673e-4,-1.0602066158071195
Banrock Station Wetland Complex,99.65234786201927,NA,1987,1.489590999883131,0.24297045660878408,270.81688241830057,0.9510151222483659,-7.196882853493673e-4
Banrock Station Wetland Complex,73.55684690101475,NA,1988,0.17204345848261743,1.489590999883131,200.857444107065,-0.7390227729523898,0.9510151222483659
Banrock Station Wetland Complex,55.59169510626325,NA,1989,-0.7350072095015971,0.17204345848261743,222.040355349522,-0.2272987855304245,-0.7390227729523898
Banrock Station Wetland Complex,74.21212205325855,NA,1990,0.20512794178377403,-0.7350072095015971,214.98227791365457,-0.3978035611807119,-0.2272987855304245
Banrock Station Wetland Complex,75.63366680939994,NA,1991,0.27690095741753024,0.20512794178377403,219.75988416438008,-0.2823890323196737,-0.3978035611807119
Banrock Station Wetland Complex,66.95132854499069,NA,1992,-0.161465543036871,0.27690095741753024,227.7449541347868,-0.08949053039374243,-0.2823890323196737
Banrock Station Wetland Complex,78.42810372885535,NA,1993,0.41799054593813967,-0.161465543036871,338.9062939733851,2.59587803950155,-0.08949053039374243
Banrock Station Wetland Complex,91.63406732082368,NA,1994,1.0847524099247046,0.41799054593813967,216.2135199226585,-0.36805995969376926,2.59587803950155
Banrock Station Wetland Complex,44.14214669863383,NA,1995,-1.3130886334666274,1.0847524099247046,233.85075830641915,0.05800980236802402,-0.36805995969376926
Banrock Station Wetland Complex,68.65974735886444,NA,1996,-0.07520841345482626,-1.3130886334666274,267.7684334733907,0.877372532158345,0.05800980236802402
Banrock Station Wetland Complex,94.79310753018248,NA,1997,1.2442506187249789,-0.07520841345482626,194.5176877036983,-0.8921747825549399,0.877372532158345
Banrock Station Wetland Complex,82.52763595113568,NA,1998,0.6249736810168278,1.2442506187249789,272.92378612756727,1.0019124306909912,-0.8921747825549399
Banrock Station Wetland Complex,79.33068972054649,NA,1999,0.4635616179797254,0.6249736810168278,216.8144407049114,-0.35354327804885705,1.0019124306909912
Banrock Station Wetland Complex,61.05586894586975,NA,2000,-0.4591240670811187,0.4635616179797254,288.43224801760095,1.3765564947818305,-0.35354327804885705
Banrock Station Wetland Complex,75.46964877259498,NA,2001,0.2686197766323579,-0.4591240670811187,238.4821942747808,0.16989323775103668,1.3765564947818305
Banrock Station Wetland Complex,86.17079965881274,NA,2002,0.8089150199143785,0.2686197766323579,188.73515812146897,-1.0318656428590236,0.16989323775103668
Banrock Station Wetland Complex,44.7284585312301,NA,2003,-1.2834860703778554,0.8089150199143785,211.74069102581808,-0.47611186115100645,-1.0318656428590236
Banrock Station Wetland Complex,70.67419296900431,NA,2004,0.026499841347065064,-1.2834860703778554,209.3655408165034,-0.5334893066741955,-0.47611186115100645
