Scenario,basin_flow_zscore_3m,basin_flow_zscore_annual
S1,0.06120609511665116,0.11921736766949333
S2,-0.15229815997973725,-0.292156835191139
S3,-0.32044132792035757,-0.6152392365491065
S4,0.076521684698532,0.14958799402743486
S5,-0.2286914664668692,-0.4382992981521995
S6,-0.47317194810179614,-0.9082862860108126
