Valley,Scenario,pct_change,X,Wetland
Lower murray,S5,-0.15,1,banrock station wetland complex
Lower murray,S5,-0.15,6,coorong and murray mouth
Lower murray,S5,-0.15,15,hattah lakes
Lower murray,S5,-0.15,24,lindsay-walpolla-chowilla
Lower murray,S5,-0.15,26,lower lakes
Lower murray,S5,-0.15,32,noora evaporation basin
Lower murray,S5,-0.15,34,pyap lagoon
Lower murray,S3,-0.21,1,banrock station wetland complex
Lower murray,S3,-0.21,6,coorong and murray mouth
Lower murray,S3,-0.21,15,hattah lakes
Lower murray,S3,-0.21,24,lindsay-walpolla-chowilla
Lower murray,S3,-0.21,26,lower lakes
Lower murray,S3,-0.21,32,noora evaporation basin
Lower murray,S3,-0.21,34,pyap lagoon
Lower murray,S6,-0.31,1,banrock station wetland complex
Lower murray,S6,-0.31,6,coorong and murray mouth
Lower murray,S6,-0.31,15,hattah lakes
Lower murray,S6,-0.31,24,lindsay-walpolla-chowilla
Lower murray,S6,-0.31,26,lower lakes
Lower murray,S6,-0.31,32,noora evaporation basin
Lower murray,S6,-0.31,34,pyap lagoon
Central murray,S1,0.04,2,barmah-millewa
Central murray,S1,0.04,13,gunbower-koondrook-perricoota
Central murray,S1,0.04,29,mulwala
Central murray,S1,0.04,30,murray river and euston lakes
Central murray,S4,0.05,2,barmah-millewa
Central murray,S4,0.05,13,gunbower-koondrook-perricoota
Central murray,S4,0.05,29,mulwala
Central murray,S4,0.05,30,murray river and euston lakes
Central murray,S2,-0.1,2,barmah-millewa
Central murray,S2,-0.1,13,gunbower-koondrook-perricoota
Central murray,S2,-0.1,29,mulwala
Central murray,S2,-0.1,30,murray river and euston lakes
Central murray,S5,-0.15,2,barmah-millewa
Central murray,S5,-0.15,13,gunbower-koondrook-perricoota
Central murray,S5,-0.15,29,mulwala
Central murray,S5,-0.15,30,murray river and euston lakes
Central murray,S3,-0.21,2,barmah-millewa
Central murray,S3,-0.21,13,gunbower-koondrook-perricoota
Central murray,S3,-0.21,29,mulwala
Central murray,S3,-0.21,30,murray river and euston lakes
Central murray,S6,-0.31,2,barmah-millewa
Central murray,S6,-0.31,13,gunbower-koondrook-perricoota
Central murray,S6,-0.31,29,mulwala
Central murray,S6,-0.31,30,murray river and euston lakes
Goulburn,S1,0.01,8,corop wetlands complex
Goulburn,S4,0.02,8,corop wetlands complex
Goulburn,S2,-0.1,8,corop wetlands complex
Goulburn,S5,-0.15,8,corop wetlands complex
Goulburn,S3,-0.19,8,corop wetlands complex
Goulburn,S6,-0.29,8,corop wetlands complex
Broken,S1,0.01,23,lake mokoan
Broken,S4,0.02,23,lake mokoan
Broken,S2,-0.1,23,lake mokoan
Broken,S5,-0.15,23,lake mokoan
Broken,S3,-0.19,23,lake mokoan
Broken,S6,-0.29,23,lake mokoan
Loddon,S1,0.01,16,kerang wetlands
Loddon,S4,0.02,16,kerang wetlands
Loddon,S2,-0.1,16,kerang wetlands
Loddon,S5,-0.15,16,kerang wetlands
Loddon,S3,-0.19,16,kerang wetlands
Loddon,S6,-0.29,16,kerang wetlands
Border rivers,NA,NA,41,coolmunda dam
 Kiewa,NA,NA,41, kiewa river
 Macquarie,NA,NA,42, burrendong dam
 Wimmera,NA,NA,43, lake buloke
