"","water_year","flow","wetlands","river","location"
"2023",2002,832.242,"paroo overflow lakes complex","paroo","willara"
"2024",2003,419.194,"paroo overflow lakes complex","paroo","willara"
"2025",2004,4565.404,"paroo overflow lakes complex","paroo","willara"
"2026",2005,518.666,"paroo overflow lakes complex","paroo","willara"
"2027",2006,433.769,"paroo overflow lakes complex","paroo","willara"
"2028",2007,1917.551,"paroo overflow lakes complex","paroo","willara"
"2029",2008,11805.873,"paroo overflow lakes complex","paroo","willara"
"2030",2009,768.372,"paroo overflow lakes complex","paroo","willara"
"2031",2010,16582.474,"paroo overflow lakes complex","paroo","willara"
"2032",2011,3484.711,"paroo overflow lakes complex","paroo","willara"
"2033",2012,8661.053,"paroo overflow lakes complex","paroo","willara"
"2034",2013,89.387,"paroo overflow lakes complex","paroo","willara"
"2035",2014,1157.627,"paroo overflow lakes complex","paroo","willara"
"2036",2015,742.211,"paroo overflow lakes complex","paroo","willara"
"2037",2016,1803.518,"paroo overflow lakes complex","paroo","willara"
"2038",2017,385.634,"paroo overflow lakes complex","paroo","willara"
"2039",2018,160.203,"paroo overflow lakes complex","paroo","willara"
"2040",2019,1287.326,"paroo overflow lakes complex","paroo","willara"
"2041",2020,4934.26,"paroo overflow lakes complex","paroo","willara"
"2042",2021,1917.268,"paroo overflow lakes complex","paroo","willara"
"2043",2022,5156.928,"paroo overflow lakes complex","paroo","willara"
"2044",2023,994.878,"paroo overflow lakes complex","paroo","willara"
"2045",2024,2638.846,"paroo overflow lakes complex","paroo","willara"
"2046",2025,11846.517,"paroo overflow lakes complex","paroo","willara"
"2047",2026,0,"paroo overflow lakes complex","paroo","willara"
"2048",1972,NA,"split rock reservoir","manilla","blacksprings"
"2049",1973,305.426,"split rock reservoir","manilla","blacksprings"
"2050",1974,864.476,"split rock reservoir","manilla","blacksprings"
"2051",1975,308.663,"split rock reservoir","manilla","blacksprings"
"2052",1976,672.819,"split rock reservoir","manilla","blacksprings"
"2053",1977,1063.775,"split rock reservoir","manilla","blacksprings"
"2054",1978,891.612,"split rock reservoir","manilla","blacksprings"
"2055",1979,367.438,"split rock reservoir","manilla","blacksprings"
"2056",1980,78.198,"split rock reservoir","manilla","blacksprings"
"2057",1981,130.403,"split rock reservoir","manilla","blacksprings"
"2058",1982,126.465,"split rock reservoir","manilla","blacksprings"
"2059",1983,640.941,"split rock reservoir","manilla","blacksprings"
"2060",1984,340.331,"split rock reservoir","manilla","blacksprings"
"2061",1985,235.699,"split rock reservoir","manilla","blacksprings"
"2062",1986,117.491,"split rock reservoir","manilla","blacksprings"
"2063",1987,136.611,"split rock reservoir","manilla","blacksprings"
"2064",1988,182.525,"split rock reservoir","manilla","blacksprings"
"2065",1989,378.005,"split rock reservoir","manilla","blacksprings"
"2066",1990,527.422,"split rock reservoir","manilla","blacksprings"
"2067",1991,211.711,"split rock reservoir","manilla","blacksprings"
"2068",1992,104.884,"split rock reservoir","manilla","blacksprings"
"2069",1993,173.585,"split rock reservoir","manilla","blacksprings"
"2070",1994,10.87,"split rock reservoir","manilla","blacksprings"
"2071",1995,62.968,"split rock reservoir","manilla","blacksprings"
"2072",1996,568.266,"split rock reservoir","manilla","blacksprings"
"2073",1997,971.85,"split rock reservoir","manilla","blacksprings"
"2074",1998,1739.846,"split rock reservoir","manilla","blacksprings"
"2075",1999,266.896,"split rock reservoir","manilla","blacksprings"
"2076",2000,123.618,"split rock reservoir","manilla","blacksprings"
"2077",2001,324.161,"split rock reservoir","manilla","blacksprings"
"2078",2002,38.766,"split rock reservoir","manilla","blacksprings"
"2079",2003,207.036,"split rock reservoir","manilla","blacksprings"
"2080",2004,307.272,"split rock reservoir","manilla","blacksprings"
"2081",2005,394.569,"split rock reservoir","manilla","blacksprings"
"2082",2006,46.888,"split rock reservoir","manilla","blacksprings"
"2083",2007,16.141,"split rock reservoir","manilla","blacksprings"
"2084",2008,121.098,"split rock reservoir","manilla","blacksprings"
"2085",2009,47.632,"split rock reservoir","manilla","blacksprings"
"2086",2010,252.268,"split rock reservoir","manilla","blacksprings"
"2087",2011,220.685,"split rock reservoir","manilla","blacksprings"
"2088",2012,2068.468,"split rock reservoir","manilla","blacksprings"
"2089",2013,276.8,"split rock reservoir","manilla","blacksprings"
"2090",2014,71.719,"split rock reservoir","manilla","blacksprings"
"2091",2015,52.081,"split rock reservoir","manilla","blacksprings"
"2092",2016,438.234,"split rock reservoir","manilla","blacksprings"
"2093",2017,57.943,"split rock reservoir","manilla","blacksprings"
"2094",2018,19.867,"split rock reservoir","manilla","blacksprings"
"2095",2019,13.676,"split rock reservoir","manilla","blacksprings"
"2096",2020,115.162,"split rock reservoir","manilla","blacksprings"
"2097",2021,812.036,"split rock reservoir","manilla","blacksprings"
"2098",2022,2159.199,"split rock reservoir","manilla","blacksprings"
"2099",2023,423.493,"split rock reservoir","manilla","blacksprings"
"2100",2024,112.573,"split rock reservoir","manilla","blacksprings"
"2101",2025,731.723,"split rock reservoir","manilla","blacksprings"
"2102",2026,1.258,"split rock reservoir","manilla","blacksprings"
"2103",1981,0,"talywalka system","talywalka","barrierhwy"
"2104",1982,0,"talywalka system","talywalka","barrierhwy"
"2105",1983,20136.563,"talywalka system","talywalka","barrierhwy"
"2106",1984,4117.24,"talywalka system","talywalka","barrierhwy"
"2107",1985,450.082,"talywalka system","talywalka","barrierhwy"
"2108",1986,0,"talywalka system","talywalka","barrierhwy"
"2109",1987,0,"talywalka system","talywalka","barrierhwy"
"2110",1988,3554.793,"talywalka system","talywalka","barrierhwy"
"2111",1989,821.137,"talywalka system","talywalka","barrierhwy"
"2112",1990,15592.923,"talywalka system","talywalka","barrierhwy"
"2113",1991,874.7,"talywalka system","talywalka","barrierhwy"
"2114",1992,0,"talywalka system","talywalka","barrierhwy"
"2115",1993,44.429,"talywalka system","talywalka","barrierhwy"
"2116",1994,0,"talywalka system","talywalka","barrierhwy"
"2117",1995,0,"talywalka system","talywalka","barrierhwy"
"2118",1996,1022.302,"talywalka system","talywalka","barrierhwy"
"2119",1997,0.085,"talywalka system","talywalka","barrierhwy"
"2120",1998,17874.171,"talywalka system","talywalka","barrierhwy"
"2121",1999,10214.5,"talywalka system","talywalka","barrierhwy"
"2122",2001,0,"talywalka system","talywalka","barrierhwy"
"2123",2002,0,"talywalka system","talywalka","barrierhwy"
"2124",2003,0,"talywalka system","talywalka","barrierhwy"
"2125",2004,0,"talywalka system","talywalka","barrierhwy"
"2126",2005,0,"talywalka system","talywalka","barrierhwy"
"2127",2006,0,"talywalka system","talywalka","barrierhwy"
"2128",2007,0,"talywalka system","talywalka","barrierhwy"
"2129",2008,0,"talywalka system","talywalka","barrierhwy"
"2130",2010,146.123,"talywalka system","talywalka","barrierhwy"
"2131",2011,9424.995,"talywalka system","talywalka","barrierhwy"
"2132",2012,12851.094,"talywalka system","talywalka","barrierhwy"
"2133",2013,4.36,"talywalka system","talywalka","barrierhwy"
"2134",2014,0,"talywalka system","talywalka","barrierhwy"
"2135",2015,0,"talywalka system","talywalka","barrierhwy"
"2136",2016,0.003,"talywalka system","talywalka","barrierhwy"
"2137",2017,86.588,"talywalka system","talywalka","barrierhwy"
"2138",2018,0,"talywalka system","talywalka","barrierhwy"
"2139",2019,0,"talywalka system","talywalka","barrierhwy"
"2140",2020,0,"talywalka system","talywalka","barrierhwy"
"2141",2021,33.823,"talywalka system","talywalka","barrierhwy"
"2142",2022,4051.616,"talywalka system","talywalka","barrierhwy"
"2143",2023,33889.315,"talywalka system","talywalka","barrierhwy"
"2144",2024,0,"talywalka system","talywalka","barrierhwy"
"2145",2025,15.656,"talywalka system","talywalka","barrierhwy"
"2146",1992,NA,"upper darling river","darling","deadhorsecreek"
"2147",1993,3133.721,"upper darling river","darling","deadhorsecreek"
"2148",1994,3686.207,"upper darling river","darling","deadhorsecreek"
"2149",2002,43.894,"upper darling river","darling","deadhorsecreek"
"2150",2003,1489.488,"upper darling river","darling","deadhorsecreek"
"2151",2004,8059.312,"upper darling river","darling","deadhorsecreek"
"2152",2005,7502.295,"upper darling river","darling","deadhorsecreek"
"2153",2006,829.229,"upper darling river","darling","deadhorsecreek"
"2154",2007,737.116,"upper darling river","darling","deadhorsecreek"
"2155",2008,9989.119,"upper darling river","darling","deadhorsecreek"
"2156",2009,3958.671,"upper darling river","darling","deadhorsecreek"
"2157",2010,29942.013,"upper darling river","darling","deadhorsecreek"
"2158",2011,43826.945,"upper darling river","darling","deadhorsecreek"
"2159",2012,91769.156,"upper darling river","darling","deadhorsecreek"
"2160",2013,14403.752,"upper darling river","darling","deadhorsecreek"
"2161",2014,893.734,"upper darling river","darling","deadhorsecreek"
"2162",2015,1644.336,"upper darling river","darling","deadhorsecreek"
"2163",2016,18187.198,"upper darling river","darling","deadhorsecreek"
"2164",2017,2106.168,"upper darling river","darling","deadhorsecreek"
"2165",2018,600.109,"upper darling river","darling","deadhorsecreek"
"2166",2019,15.41,"upper darling river","darling","deadhorsecreek"
"2167",2020,8283.505,"upper darling river","darling","deadhorsecreek"
"2168",2021,28752.848,"upper darling river","darling","deadhorsecreek"
"2169",2022,114645.251,"upper darling river","darling","deadhorsecreek"
"2170",2023,95234.659,"upper darling river","darling","deadhorsecreek"
"2171",2024,8848.428,"upper darling river","darling","deadhorsecreek"
"2172",2025,26801.045,"upper darling river","darling","deadhorsecreek"
"2173",2026,351.197,"upper darling river","darling","deadhorsecreek"
"2174",1922,NA,"upper darling river","warrego","fordsbridge"
"2175",1923,4.392,"upper darling river","warrego","fordsbridge"
"2176",1924,0,"upper darling river","warrego","fordsbridge"
"2177",1925,0,"upper darling river","warrego","fordsbridge"
"2178",1926,0,"upper darling river","warrego","fordsbridge"
"2179",1927,0,"upper darling river","warrego","fordsbridge"
"2180",1928,0,"upper darling river","warrego","fordsbridge"
"2181",1929,0,"upper darling river","warrego","fordsbridge"
"2182",1930,0.503,"upper darling river","warrego","fordsbridge"
"2183",1937,42.586,"upper darling river","warrego","fordsbridge"
"2184",1938,9.175,"upper darling river","warrego","fordsbridge"
"2185",1939,63.594,"upper darling river","warrego","fordsbridge"
"2186",1940,0.8,"upper darling river","warrego","fordsbridge"
"2187",1941,820.526,"upper darling river","warrego","fordsbridge"
"2188",1942,1.275,"upper darling river","warrego","fordsbridge"
"2189",1943,21.551,"upper darling river","warrego","fordsbridge"
"2190",1944,0.328,"upper darling river","warrego","fordsbridge"
"2191",1945,0.371,"upper darling river","warrego","fordsbridge"
"2192",1946,8.746,"upper darling river","warrego","fordsbridge"
"2193",1947,83.935,"upper darling river","warrego","fordsbridge"
"2194",1948,4.208,"upper darling river","warrego","fordsbridge"
"2195",1949,608.412,"upper darling river","warrego","fordsbridge"
"2196",1950,2025.715,"upper darling river","warrego","fordsbridge"
"2197",1951,275.736,"upper darling river","warrego","fordsbridge"
"2198",1952,0.295,"upper darling river","warrego","fordsbridge"
"2199",1953,2.229,"upper darling river","warrego","fordsbridge"
"2200",1954,43.739,"upper darling river","warrego","fordsbridge"
"2201",1955,340.469,"upper darling river","warrego","fordsbridge"
"2202",1956,3999.226,"upper darling river","warrego","fordsbridge"
"2203",1957,0,"upper darling river","warrego","fordsbridge"
"2204",1958,0,"upper darling river","warrego","fordsbridge"
"2205",1959,83.043,"upper darling river","warrego","fordsbridge"
"2206",1960,0,"upper darling river","warrego","fordsbridge"
"2207",1961,121.367,"upper darling river","warrego","fordsbridge"
"2208",1962,85.587,"upper darling river","warrego","fordsbridge"
"2209",1963,958.011,"upper darling river","warrego","fordsbridge"
"2210",1964,45.244,"upper darling river","warrego","fordsbridge"
"2211",1965,0,"upper darling river","warrego","fordsbridge"
"2212",1966,16.122,"upper darling river","warrego","fordsbridge"
"2213",1967,128.431,"upper darling river","warrego","fordsbridge"
"2214",1968,283.04,"upper darling river","warrego","fordsbridge"
"2215",1969,0,"upper darling river","warrego","fordsbridge"
"2216",1970,10.883,"upper darling river","warrego","fordsbridge"
"2217",1971,130.288,"upper darling river","warrego","fordsbridge"
"2218",1972,185.855,"upper darling river","warrego","fordsbridge"
"2219",1973,371.96,"upper darling river","warrego","fordsbridge"
"2220",1974,1739.468,"upper darling river","warrego","fordsbridge"
"2221",1975,31.474,"upper darling river","warrego","fordsbridge"
"2222",1976,4309.673,"upper darling river","warrego","fordsbridge"
"2223",1977,376.244,"upper darling river","warrego","fordsbridge"
"2224",1978,139.581,"upper darling river","warrego","fordsbridge"
"2225",1979,35.541,"upper darling river","warrego","fordsbridge"
"2226",1980,4.554,"upper darling river","warrego","fordsbridge"
"2227",1981,375.481,"upper darling river","warrego","fordsbridge"
"2228",1982,86.994,"upper darling river","warrego","fordsbridge"
"2229",1983,1682.572,"upper darling river","warrego","fordsbridge"
"2230",1984,317.232,"upper darling river","warrego","fordsbridge"
"2231",1985,0.843,"upper darling river","warrego","fordsbridge"
"2232",1986,37.109,"upper darling river","warrego","fordsbridge"
"2233",1987,51.201,"upper darling river","warrego","fordsbridge"
"2234",1988,63.069,"upper darling river","warrego","fordsbridge"
"2235",1989,2163.126,"upper darling river","warrego","fordsbridge"
"2236",1990,3793.212,"upper darling river","warrego","fordsbridge"
"2237",1991,28.618,"upper darling river","warrego","fordsbridge"
"2238",1992,11.009,"upper darling river","warrego","fordsbridge"
"2239",1993,89.236,"upper darling river","warrego","fordsbridge"
"2240",1994,381.144,"upper darling river","warrego","fordsbridge"
"2241",1995,517.136,"upper darling river","warrego","fordsbridge"
"2242",1996,48.619,"upper darling river","warrego","fordsbridge"
"2243",1997,1161.62,"upper darling river","warrego","fordsbridge"
"2244",1998,488.104,"upper darling river","warrego","fordsbridge"
"2245",1999,35.26,"upper darling river","warrego","fordsbridge"
"2246",2000,671.214,"upper darling river","warrego","fordsbridge"
"2247",2001,188.219,"upper darling river","warrego","fordsbridge"
"2248",2002,19.058,"upper darling river","warrego","fordsbridge"
"2249",2003,18.903,"upper darling river","warrego","fordsbridge"
"2250",2004,60.546,"upper darling river","warrego","fordsbridge"
"2251",2005,18.802,"upper darling river","warrego","fordsbridge"
"2252",2006,3.485,"upper darling river","warrego","fordsbridge"
"2253",2007,11.001,"upper darling river","warrego","fordsbridge"
"2254",2008,1485.28,"upper darling river","warrego","fordsbridge"
"2255",2009,4.886,"upper darling river","warrego","fordsbridge"
"2256",2010,1653.379,"upper darling river","warrego","fordsbridge"
"2257",2011,725.648,"upper darling river","warrego","fordsbridge"
"2258",2012,1390.021,"upper darling river","warrego","fordsbridge"
"2259",2013,0.13,"upper darling river","warrego","fordsbridge"
"2260",2014,15.703,"upper darling river","warrego","fordsbridge"
"2261",2015,10.834,"upper darling river","warrego","fordsbridge"
"2262",2016,94.39,"upper darling river","warrego","fordsbridge"
"2263",2017,1.601,"upper darling river","warrego","fordsbridge"
"2264",2018,5.497,"upper darling river","warrego","fordsbridge"
"2265",2019,92.257,"upper darling river","warrego","fordsbridge"
"2266",2020,745.482,"upper darling river","warrego","fordsbridge"
"2267",2021,22.632,"upper darling river","warrego","fordsbridge"
"2268",2022,218.922,"upper darling river","warrego","fordsbridge"
"2269",2023,20.946,"upper darling river","warrego","fordsbridge"
"2270",2024,149.086,"upper darling river","warrego","fordsbridge"
"2271",2025,1284.218,"upper darling river","warrego","fordsbridge"
"2272",2026,0,"upper darling river","warrego","fordsbridge"
"2273",1922,NA,"upper darling river","warrego","fordsbywash"
"2274",1923,147.557,"upper darling river","warrego","fordsbywash"
"2275",1924,164.569,"upper darling river","warrego","fordsbywash"
"2276",1925,713.921,"upper darling river","warrego","fordsbywash"
"2277",1926,550.05,"upper darling river","warrego","fordsbywash"
"2278",1927,206.932,"upper darling river","warrego","fordsbywash"
"2279",1928,1008.824,"upper darling river","warrego","fordsbywash"
"2280",1929,113.918,"upper darling river","warrego","fordsbywash"
"2281",1930,388.738,"upper darling river","warrego","fordsbywash"
"2282",1931,357.042,"upper darling river","warrego","fordsbywash"
"2283",1932,331.07,"upper darling river","warrego","fordsbywash"
"2284",1933,335.394,"upper darling river","warrego","fordsbywash"
"2285",1934,524.368,"upper darling river","warrego","fordsbywash"
"2286",1935,54.094,"upper darling river","warrego","fordsbywash"
"2287",1936,702.661,"upper darling river","warrego","fordsbywash"
"2288",1937,619.174,"upper darling river","warrego","fordsbywash"
"2289",1938,603.173,"upper darling river","warrego","fordsbywash"
"2290",1939,1264.866,"upper darling river","warrego","fordsbywash"
"2291",1940,292.728,"upper darling river","warrego","fordsbywash"
"2292",1941,1390.708,"upper darling river","warrego","fordsbywash"
"2293",1942,74.592,"upper darling river","warrego","fordsbywash"
"2294",1943,581.16,"upper darling river","warrego","fordsbywash"
"2295",1944,188.509,"upper darling river","warrego","fordsbywash"
"2296",1945,543.955,"upper darling river","warrego","fordsbywash"
"2297",1946,374.398,"upper darling river","warrego","fordsbywash"
"2298",1947,743.322,"upper darling river","warrego","fordsbywash"
"2299",1948,354.963,"upper darling river","warrego","fordsbywash"
"2300",1949,927.39,"upper darling river","warrego","fordsbywash"
"2301",1950,2666.616,"upper darling river","warrego","fordsbywash"
"2302",1951,903.075,"upper darling river","warrego","fordsbywash"
"2303",1952,96.006,"upper darling river","warrego","fordsbywash"
"2304",1953,170.81,"upper darling river","warrego","fordsbywash"
"2305",1954,624.81,"upper darling river","warrego","fordsbywash"
"2306",1955,1948.07,"upper darling river","warrego","fordsbywash"
"2307",1956,3188.403,"upper darling river","warrego","fordsbywash"
"2308",1957,89.864,"upper darling river","warrego","fordsbywash"
"2309",1958,NA,"upper darling river","warrego","fordsbywash"
"2310",1959,559.972,"upper darling river","warrego","fordsbywash"
"2311",1960,308.625,"upper darling river","warrego","fordsbywash"
"2312",1961,736.916,"upper darling river","warrego","fordsbywash"
"2313",1962,679.802,"upper darling river","warrego","fordsbywash"
"2314",1963,1554.437,"upper darling river","warrego","fordsbywash"
"2315",1964,488.406,"upper darling river","warrego","fordsbywash"
"2316",1965,59.288,"upper darling river","warrego","fordsbywash"
"2317",1966,393.45,"upper darling river","warrego","fordsbywash"
"2318",1967,391.89,"upper darling river","warrego","fordsbywash"
"2319",1968,773.413,"upper darling river","warrego","fordsbywash"
"2320",1969,167.579,"upper darling river","warrego","fordsbywash"
"2321",1970,366.701,"upper darling river","warrego","fordsbywash"
"2322",1971,608.038,"upper darling river","warrego","fordsbywash"
"2323",1972,310.423,"upper darling river","warrego","fordsbywash"
"2324",1973,606.709,"upper darling river","warrego","fordsbywash"
"2325",1974,1309.929,"upper darling river","warrego","fordsbywash"
"2326",1975,282.437,"upper darling river","warrego","fordsbywash"
"2327",1976,1612.157,"upper darling river","warrego","fordsbywash"
"2328",1977,682.354,"upper darling river","warrego","fordsbywash"
"2329",1978,470.079,"upper darling river","warrego","fordsbywash"
"2330",1979,312.56,"upper darling river","warrego","fordsbywash"
"2331",1980,21.424,"upper darling river","warrego","fordsbywash"
"2332",1981,774.252,"upper darling river","warrego","fordsbywash"
"2333",1982,273.639,"upper darling river","warrego","fordsbywash"
"2334",1983,1166.593,"upper darling river","warrego","fordsbywash"
"2335",1984,693.271,"upper darling river","warrego","fordsbywash"
"2336",1985,9.42,"upper darling river","warrego","fordsbywash"
"2337",1986,343.087,"upper darling river","warrego","fordsbywash"
"2338",1987,551.398,"upper darling river","warrego","fordsbywash"
"2339",1988,392.308,"upper darling river","warrego","fordsbywash"
"2340",1989,1178.786,"upper darling river","warrego","fordsbywash"
"2341",1990,1801.384,"upper darling river","warrego","fordsbywash"
"2342",1991,166.973,"upper darling river","warrego","fordsbywash"
"2343",1992,135.65,"upper darling river","warrego","fordsbywash"
"2344",1993,397.974,"upper darling river","warrego","fordsbywash"
"2345",1994,683.272,"upper darling river","warrego","fordsbywash"
"2346",1995,404.834,"upper darling river","warrego","fordsbywash"
"2347",1996,384.999,"upper darling river","warrego","fordsbywash"
"2348",1997,796.146,"upper darling river","warrego","fordsbywash"
"2349",1998,1054.32,"upper darling river","warrego","fordsbywash"
"2350",1999,464.646,"upper darling river","warrego","fordsbywash"
"2351",2000,804.123,"upper darling river","warrego","fordsbywash"
"2352",2001,405.1,"upper darling river","warrego","fordsbywash"
"2353",2002,208.406,"upper darling river","warrego","fordsbywash"
"2354",2003,117.916,"upper darling river","warrego","fordsbywash"
"2355",2004,362.554,"upper darling river","warrego","fordsbywash"
"2356",2005,262.914,"upper darling river","warrego","fordsbywash"
"2357",2006,96.74,"upper darling river","warrego","fordsbywash"
"2358",2007,237.246,"upper darling river","warrego","fordsbywash"
"2359",2008,1372.658,"upper darling river","warrego","fordsbywash"
"2360",2009,158.742,"upper darling river","warrego","fordsbywash"
"2361",2010,1836.6,"upper darling river","warrego","fordsbywash"
"2362",2011,1402.407,"upper darling river","warrego","fordsbywash"
"2363",2012,1304.045,"upper darling river","warrego","fordsbywash"
"2364",2013,0.024,"upper darling river","warrego","fordsbywash"
"2365",2014,41.258,"upper darling river","warrego","fordsbywash"
"2366",2015,134.098,"upper darling river","warrego","fordsbywash"
"2367",2016,580.093,"upper darling river","warrego","fordsbywash"
"2368",2017,18.193,"upper darling river","warrego","fordsbywash"
"2369",2018,91.335,"upper darling river","warrego","fordsbywash"
"2370",2019,282.167,"upper darling river","warrego","fordsbywash"
"2371",2020,558.545,"upper darling river","warrego","fordsbywash"
"2372",2021,157.558,"upper darling river","warrego","fordsbywash"
"2373",2022,918.791,"upper darling river","warrego","fordsbywash"
"2374",2023,228.4,"upper darling river","warrego","fordsbywash"
"2375",2024,675.617,"upper darling river","warrego","fordsbywash"
"2376",2025,1009.492,"upper darling river","warrego","fordsbywash"
"2377",1998,NA,"waranga basin","centralgoulburn","no9offtake"
"2378",1999,1153.052,"waranga basin","centralgoulburn","no9offtake"
"2379",2000,1221.998,"waranga basin","centralgoulburn","no9offtake"
"2380",2001,1489.725,"waranga basin","centralgoulburn","no9offtake"
"2381",2002,1593.853,"waranga basin","centralgoulburn","no9offtake"
"2382",2003,653.443,"waranga basin","centralgoulburn","no9offtake"
"2383",2004,1473.696,"waranga basin","centralgoulburn","no9offtake"
"2384",2005,1131.234,"waranga basin","centralgoulburn","no9offtake"
"2385",2006,1420.259,"waranga basin","centralgoulburn","no9offtake"
"2386",2007,603.897,"waranga basin","centralgoulburn","no9offtake"
"2387",2008,621.519,"waranga basin","centralgoulburn","no9offtake"
"2388",2009,539.073,"waranga basin","centralgoulburn","no9offtake"
"2389",2010,477.056,"waranga basin","centralgoulburn","no9offtake"
"2390",2011,482.126,"waranga basin","centralgoulburn","no9offtake"
"2391",2012,NA,"waranga basin","centralgoulburn","no9offtake"
"2392",2013,1392.559,"waranga basin","centralgoulburn","no9offtake"
"2393",2014,1181.461,"waranga basin","centralgoulburn","no9offtake"
"2394",2015,NA,"waranga basin","centralgoulburn","no9offtake"
"2395",2016,553.46,"waranga basin","centralgoulburn","no9offtake"
"2396",2017,NA,"waranga basin","centralgoulburn","no9offtake"
"2397",2018,994.626,"waranga basin","centralgoulburn","no9offtake"
"2398",2019,544.219,"waranga basin","centralgoulburn","no9offtake"
"2399",2020,224.698,"waranga basin","centralgoulburn","no9offtake"
"2400",2021,510.696,"waranga basin","centralgoulburn","no9offtake"
"2401",2022,462.678,"waranga basin","centralgoulburn","no9offtake"
"2402",2023,627.836,"waranga basin","centralgoulburn","no9offtake"
"2403",2024,892.117,"waranga basin","centralgoulburn","no9offtake"
"2404",2025,1008.493,"waranga basin","centralgoulburn","no9offtake"
"2405",2026,75.235,"waranga basin","centralgoulburn","no9offtake"
